Region,Year,OtherArableMin,OtherArableMax,PermCropMin,PermCropMax,PastureMin,PastureMax
LV00,2010,1068804,1068804,15404,15404,641129,641129
LV00,2011,1068532,1068532,14584,14584,656143,656143
LV00,2012,1065019,1065019,15029,15029,673783,673783
LV00,2013,1057590,1057590,14076,14076,672166,672166
LV00,2014,1045354,1045354,15709,15709,660122,660122
LV00,2015,1033974,1033974,14002,14002,655523,655523
LV00,2016,1018068,1018068,13666,13666,637807,637807
LV00,2017,1005660,1005660,16482,16482,665327,665327
LV00,2018,1014250,1014250,15064,15064,662083,662083
LV00,2019,1022841,1022841,13646,13646,658840,658840
LV00,2020,1031432,1031432,12229,12229,655597,655597
LV00,2021,1035898,1035898,11903,11903,654070,654070
LV00,2022,1040365,1040365,11578,11578,652544,652544
LV00,2023,1044832,1044832,11253,11253,651018,651018
LV00,2024,1049299,1049299,10928,10928,649492,649492
LV00,2025,1053766,1053766,10603,10603,647966,647966
LV00,2026,1057440,1057440,10409,10409,647231,647231
LV00,2027,1061114,1061114,10216,10216,646496,646496
LV00,2028,1064788,1064788,10022,10022,645761,645761
LV00,2029,1068462,1068462,9829,9829,645026,645026
LV00,2030,1072137,1072137,9636,9636,644292,644292
LV00,2031,1071089,1071089,9552,9552,648274,648274
LV00,2032,1070041,1070041,9468,9468,652256,652256
LV00,2033,1068994,1068994,9384,9384,656238,656238
LV00,2034,1067946,1067946,9300,9300,660220,660220
LV00,2035,1066899,1066899,9217,9217,664203,664203
LV00,2036,1062917,1062917,9172,9172,671128,671128
LV00,2037,1058935,1058935,9127,9127,678053,678053
LV00,2038,1054953,1054953,9082,9082,684978,684978
LV00,2039,1050971,1050971,9037,9037,691903,691903
LV00,2040,1046990,1046990,8993,8993,698828,698828
LV00,2041,1040376,1040376,8978,8978,708382,708382
LV00,2042,1033762,1033762,8964,8964,717936,717936
LV00,2043,1027149,1027149,8949,8949,727490,727490
LV00,2044,1020535,1020535,8935,8935,737044,737044
LV00,2045,1013922,1013922,8921,8921,746599,746599
LV00,2046,1007187,1007187,8957,8957,756275,756275
LV00,2047,1000452,1000452,8994,8994,765951,765951
LV00,2048,993717,993717,9031,9031,775628,775628
LV00,2049,986982,986982,9068,9068,785304,785304
LV00,2050,980248,980248,9105,9105,794981,794981
LV00,2051,980248,980248,9105,9105,794981,794981
LV00,2052,980248,980248,9105,9105,794981,794981
LV00,2053,980248,980248,9105,9105,794981,794981
LV00,2054,980248,980248,9105,9105,794981,794981
LV00,2055,980248,980248,9105,9105,794981,794981
LV00,2056,980248,980248,9105,9105,794981,794981
LV00,2057,980248,980248,9105,9105,794981,794981
LV00,2058,980248,980248,9105,9105,794981,794981
LV00,2059,980248,980248,9105,9105,794981,794981
LV00,2060,980248,980248,9105,9105,794981,794981
LV00,2061,980248,980248,9105,9105,794981,794981
LV00,2062,980248,980248,9105,9105,794981,794981
LV00,2063,980248,980248,9105,9105,794981,794981
LV00,2064,980248,980248,9105,9105,794981,794981
LV00,2065,980248,980248,9105,9105,794981,794981
LV00,2066,980248,980248,9105,9105,794981,794981
LV00,2067,980248,980248,9105,9105,794981,794981
LV00,2068,980248,980248,9105,9105,794981,794981
LV00,2069,980248,980248,9105,9105,794981,794981
LV00,2070,980248,980248,9105,9105,794981,794981
