"luisa_nuts2","year","Arable","Pastures","PermanentCrops"
"SK00","2050",1081471.21665937,1087758.41111649,14146.1718611665
"SK00","2020",1382768.71944988,907294.475349924,19810.2909520696
"SK00","2025",1355671.66047382,927325.146743223,18260.1517399122
"SK00","2030",1328574.60149777,947355.818136521,16710.0125277547
"SK00","2035",1272145.68878111,968261.016538481,15920.9679514309
"SK00","2040",1215716.77606445,989166.214940441,15131.9233751072
"SK00","2045",1148593.99636191,1038462.31302847,14639.0476181368
"SK01","2050",57952.3677079874,31661.3534864258,1823.7225051678
"SK01","2020",68264.3239993073,27325.967410547,2128.82442868649
"SK01","2025",67075.0993180077,28068.3420154716,2038.4518238353
"SK01","2030",65885.874636708,28810.7166203962,1948.0792189841
"SK01","2035",63787.7512593513,29326.3598593704,1897.34842797314
"SK01","2040",61689.6278819946,29842.0030983446,1846.61763696218
"SK01","2045",59820.997794991,30751.6782923852,1835.17007106499
"SK02","2050",622210.088525814,242190.804104843,3568.96485989409
"SK02","2020",745200.077887465,160254.427014616,6455.97825794509
"SK02","2025",735286.412442316,167909.352292487,5803.10641127741
"SK02","2030",725372.746997167,175564.277570358,5150.23456460973
"SK02","2035",699323.783249686,190239.072036025,4711.09294922289
"SK02","2040",673274.819502205,204913.866501691,4271.95133383605
"SK02","2045",647742.45401401,223552.335303267,3920.45809686507
"SK03","2050",147871.194437342,408040.813204953,1953.70351638702
"SK03","2020",213129.143814266,377034.66303975,3831.89060823776
"SK03","2025",206337.989434833,382466.133906674,3346.50693623522
"SK03","2030",199546.835055399,387897.604773598,2861.12326423267
"SK03","2035",187991.556528354,387780.805861203,2586.89293116827
"SK03","2040",176436.278001308,387664.006948809,2312.66259810387
"SK03","2045",162153.736219325,397852.410076881,2133.18305724544
"SK04","2050",253437.565988224,405865.44032027,6799.78097971758
"SK04","2020",356175.173748842,342679.417885011,7393.59765720029
"SK04","2025",346972.159278668,348881.31852859,7072.08656856423
"SK04","2030",337769.144808495,355083.219172169,6750.57547992817
"SK04","2035",321042.597743717,360914.778781883,6725.63364306663
"SK04","2040",304316.050678939,366746.338391597,6700.69180620508
"SK04","2045",278876.808333582,386305.889355933,6750.23639296133
"UK00","2050",5528751.65669028,13043955.9066589,98856.1066830832
"UK00","2020",5901260.36328672,12895981.2337914,31970.510948832
"UK00","2025",5880777.23471328,12903396.4539738,31513.7105592364
"UK00","2030",5860294.10613984,12910811.6741562,31056.9101696408
"UK00","2035",5701918.2105496,13017486.6979572,55785.0431462897
"UK00","2040",5543542.31495936,13124161.7217583,80513.1761229386
"UK00","2045",5536146.98582482,13084058.8142086,89684.6414030109
