Region,Year,ForestAreaOriginal,ForestsMatMin,ForestsMatMax,ForestsYoMin,ForestsYoMax,ForestsPlMin,ForestsPlMax
CZ,2000,2636942.25,1845859,3428024,0,999000000,0,999000000
CZ,2001,2639066.346,1847346,3430786,0,999000000,0,999000000
CZ,2002,2641190.442,1848833,3433547,0,999000000,0,999000000
CZ,2003,2643314.538,1850320,3436308,0,999000000,0,999000000
CZ,2004,2645438.634,1851807,3439070,0,999000000,0,999000000
CZ,2005,2647562.73,1853293,3441831,0,999000000,0,999000000
CZ,2006,2649621.704,1854735,3444508,0,999000000,0,999000000
CZ,2007,2651680.678,1856176,3447184,0,999000000,0,999000000
CZ,2008,2653739.653,1857617,3449861,0,999000000,0,999000000
CZ,2009,2655798.627,1859059,3452538,0,999000000,0,999000000
CZ,2010,2657857.602,1860500,3455214,0,999000000,0,999000000
CZ,2011,2659993.652,1861995,3457991,0,999000000,0,999000000
CZ,2012,2662129.702,1863490,3460768,0,999000000,0,999000000
CZ,2013,2664265.752,1864986,3463545,0,999000000,0,999000000
CZ,2014,2666401.802,1866481,3466322,0,999000000,0,999000000
CZ,2015,2668537.852,1867976,3469099,0,999000000,0,999000000
CZ,2016,2670567.67,1869397,3471737,0,999000000,0,999000000
CZ,2017,2672597.489,1870818,3474376,0,999000000,0,999000000
CZ,2018,2674627.308,1872239,3477015,0,999000000,0,999000000
CZ,2019,2676657.127,1873659,3479654,0,999000000,0,999000000
CZ,2020,2678686.945,1875080,3482293,0,999000000,0,999000000
CZ,2021,2680813.679,1876569,3485057,0,999000000,0,999000000
CZ,2022,2682940.413,1878058,3487822,0,999000000,0,999000000
CZ,2023,2685067.146,1879547,3490587,0,999000000,0,999000000
CZ,2024,2687193.88,1881035,3493352,0,999000000,0,999000000
CZ,2025,2689320.613,1882524,3496116,0,999000000,0,999000000
CZ,2026,2691562.364,1884093,3499031,0,999000000,0,999000000
CZ,2027,2693804.115,1885662,3501945,0,999000000,0,999000000
CZ,2028,2696045.866,1887232,3504859,0,999000000,0,999000000
CZ,2029,2698287.616,1888801,3507773,0,999000000,0,999000000
CZ,2030,2700529.367,1890370,3510688,0,999000000,0,999000000
CZ,2031,2702862.555,1892003,3513721,0,999000000,0,999000000
CZ,2032,2705195.742,1893637,3516754,0,999000000,0,999000000
CZ,2033,2707528.93,1895270,3519787,0,999000000,0,999000000
CZ,2034,2709862.117,1896903,3522820,0,999000000,0,999000000
CZ,2035,2712195.305,1898536,3525853,0,999000000,0,999000000
CZ,2036,2714545.22,1900181,3528908,0,999000000,0,999000000
CZ,2037,2716895.136,1901826,3531963,0,999000000,0,999000000
CZ,2038,2719245.052,1903471,3535018,0,999000000,0,999000000
CZ,2039,2721594.967,1905116,3538073,0,999000000,0,999000000
CZ,2040,2723944.883,1906761,3541128,0,999000000,0,999000000
CZ,2041,2726301.308,1908410,3544191,0,999000000,0,999000000
CZ,2042,2728657.733,1910060,3547255,0,999000000,0,999000000
CZ,2043,2731014.158,1911709,3550318,0,999000000,0,999000000
CZ,2044,2733370.583,1913359,3553381,0,999000000,0,999000000
CZ,2045,2735727.008,1915008,3556445,0,999000000,0,999000000
CZ,2046,2738107.655,1916675,3559539,0,999000000,0,999000000
CZ,2047,2740488.302,1918341,3562634,0,999000000,0,999000000
CZ,2048,2742868.948,1920008,3565729,0,999000000,0,999000000
CZ,2049,2745249.595,1921674,3568824,0,999000000,0,999000000
CZ,2050,2747630.242,1923341,3571919,0,999000000,0,999000000
CZ,2051,2749933.197,1924953,3574913,0,999000000,0,999000000
CZ,2052,2752236.152,1926565,3577906,0,999000000,0,999000000
CZ,2053,2754539.106,1928177,3580900,0,999000000,0,999000000
CZ,2054,2756842.061,1929789,3583894,0,999000000,0,999000000
CZ,2055,2759145.016,1931401,3586888,0,999000000,0,999000000
CZ,2056,2761157.666,1932810,3589504,0,999000000,0,999000000
CZ,2057,2763170.316,1934219,3592121,0,999000000,0,999000000
CZ,2058,2765182.966,1935628,3594737,0,999000000,0,999000000
CZ,2059,2767195.616,1937036,3597354,0,999000000,0,999000000
CZ,2060,2769208.266,1938445,3599970,0,999000000,0,999000000
CZ,2061,2771175.044,1939822,3602527,0,999000000,0,999000000
CZ,2062,2773141.822,1941199,3605084,0,999000000,0,999000000
CZ,2063,2775108.6,1942576,3607641,0,999000000,0,999000000
CZ,2064,2777075.378,1943952,3610197,0,999000000,0,999000000
CZ,2065,2779042.156,1945329,3612754,0,999000000,0,999000000
CZ,2066,2780924.797,1946647,3615202,0,999000000,0,999000000
CZ,2067,2782807.438,1947965,3617649,0,999000000,0,999000000
CZ,2068,2784690.078,1949283,3620097,0,999000000,0,999000000
CZ,2069,2786572.719,1950600,3622544,0,999000000,0,999000000
CZ,2070,2788455.359,1951918,3624991,0,999000000,0,999000000
