"Region","Year","ForestAreaOriginal","ForestsMatMin","ForestsMatMax","ForestsYoMin","ForestsYoMax"
"EL",2000,3398508.25,2378955,4418060,0,0
"EL",2001,3399237.84678,2379466,4419009,0,0
"EL",2002,3399967.44356,2379977,4419957,0,0
"EL",2003,3400697.04034,2380487,4420906,0,0
"EL",2004,3401426.63712,2380998,4421854,0,0
"EL",2005,3402156.2339,2381509,4422803,0,0
"EL",2006,3402782.80254,2381947,4423617,0,0
"EL",2007,3403409.37118,2382386,4424432,0,0
"EL",2008,3404035.93982,2382825,4425246,0,0
"EL",2009,3404662.50846,2383263,4426061,0,0
"EL",2010,3405289.0771,2383702,4426875,0,0
"EL",2011,3405265.28708,2383685,4426844,0,0
"EL",2012,3405241.49706,2383669,4426813,0,0
"EL",2013,3405217.70704,2383652,4426783,0,0
"EL",2014,3405193.91702,2383635,4426752,0,0
"EL",2015,3405170.127,2383619,4426721,0,0
"EL",2016,3404958.227,2383470,4426445,0,0
"EL",2017,3404746.327,2383322,4426170,0,0
"EL",2018,3404534.427,2383174,4425894,0,0
"EL",2019,3404322.527,2383025,4425619,0,0
"EL",2020,3404110.627,2382877,4425343,0,0
"EL",2021,3403921.477,2382745,4425097,0,0
"EL",2022,3403732.327,2382612,4424852,0,0
"EL",2023,3403543.177,2382480,4424606,0,0
"EL",2024,3403354.027,2382347,4424360,0,0
"EL",2025,3403164.877,2382215,4424114,0,0
"EL",2026,3402992.277,2382094,4423889,0,0
"EL",2027,3402819.677,2381973,4423665,0,0
"EL",2028,3402647.077,2381852,4423441,0,0
"EL",2029,3402474.477,2381732,4423216,0,0
"EL",2030,3402301.877,2381611,4422992,0,0
"EL",2031,3402267.62054,2381587,4422947,0,0
"EL",2032,3402233.36408,2381563,4422903,0,0
"EL",2033,3402199.10762,2381539,4422858,0,0
"EL",2034,3402164.85116,2381515,4422814,0,0
"EL",2035,3402130.5947,2381491,4422769,0,0
"EL",2036,3402167.66932,2381517,4422817,0,0
"EL",2037,3402204.74394,2381543,4422866,0,0
"EL",2038,3402241.81856,2381569,4422914,0,0
"EL",2039,3402278.89318,2381595,4422962,0,0
"EL",2040,3402315.9678,2381621,4423010,0,0
"EL",2041,3402406.3422,2381684,4423128,0,0
"EL",2042,3402496.7166,2381747,4423245,0,0
"EL",2043,3402587.091,2381810,4423363,0,0
"EL",2044,3402677.4654,2381874,4423480,0,0
"EL",2045,3402767.8398,2381937,4423598,0,0
"EL",2046,3402847.29234,2381993,4423701,0,0
"EL",2047,3402926.74488,2382048,4423804,0,0
"EL",2048,3403006.19742,2382104,4423908,0,0
"EL",2049,3403085.64996,2382159,4424011,0,0
"EL",2050,3403165.1025,2382215,4424114,0,0
"EL",2051,3403185.47672,2382229,4424141,0,0
"EL",2052,3403205.85094,2382244,4424167,0,0
"EL",2053,3403226.22516,2382258,4424194,0,0
"EL",2054,3403246.59938,2382272,4424220,0,0
"EL",2055,3403266.9736,2382286,4424247,0,0
"EL",2056,3403290.07848,2382303,4424277,0,0
"EL",2057,3403313.18336,2382319,4424307,0,0
"EL",2058,3403336.28824,2382335,4424337,0,0
"EL",2059,3403359.39312,2382351,4424367,0,0
"EL",2060,3403382.498,2382367,4424397,0,0
"EL",2061,3403407.74332,2382385,4424430,0,0
"EL",2062,3403432.98864,2382403,4424462,0,0
"EL",2063,3403458.23396,2382420,4424495,0,0
"EL",2064,3403483.47928,2382438,4424528,0,0
"EL",2065,3403508.7246,2382456,4424561,0,0
"EL",2066,3403535.48476,2382474,4424596,0,0
"EL",2067,3403562.24492,2382493,4424630,0,0
"EL",2068,3403589.00508,2382512,4424665,0,0
"EL",2069,3403615.76524,2382531,4424700,0,0
"EL",2070,3403642.5254,2382549,4424735,0,0
