Party;AVERAGE (crop-to-forest) t C/ha;EF

AUT;1.2181246399534178;-4.466457013162532

BEL;1.571856986811373;-5.763475618308367

BGR;2.2656675063971785;-8.307447523456322

HRV;-0.5508140367128087;2.0196514679469653

CYP;0.8340799921069574;-3.0582933043921767

CZE;1.8015052662884474;-6.605519309724308

DNM;1.271111763254973;-4.660743131934901

EST;1.2838586535141512;-4.707481729551888

FIN;1.210275474840891;-4.437676741083267

FRK;1.6351793748138297;-5.995657707650708

DEU;-0.7236196974962412;2.6532722241528846

GRC;0.8961246346695565;-3.2857903271217075

HUN;1.7855042337386138;-6.546848857041584

IRL;0;-0.0

ITA;0;-0.0

LVA;0.17798778974540294;-0.6526218957331441

LTU;1.3215105285415918;-4.8455386046525035

LUX;2.967355515255077;-10.880303555935283

MLT;0.0552882356975;-0.2027235308908333

NLD;3.1615797903085223;-11.592459231131249

POL;0.5432104703023845;-1.9917717244420763

PRT;1.8297912329233872;-6.709234520719086

ROU;1.3840243458262311;-5.074755934696181

SVK;1.5219221612903227;-5.5803812580645165

SVN;0;-0.0

ESP;1.0901212206874176;-3.997111142520531

SWE;0.9495910460814929;-3.4818338356321408

EU-27;1.3343824344986708;-4.892735593161793

GBE;0.9603995885200187;-3.5214651579067353

ISL;#DIV/0!

GBK;0.9603995885200187;-3.5214651579067353
