Party;AVERAGE (Forest-to-crop) t C/ha;EF;(tCO2/ha)
AUT;-1.31035027107958;-4.79588199215126;
BEL;-13.2394586634845;-48.4564187083532;
BGR;#DIV/0!;#DIV/0!;
HRV;-0.137005122746927;-0.501438749253754;
CYP;-0.490800872726634;-1.79633119417948;
CZE;-3.57672605848663;-13.0908173740611;
DNM;-1.99643781173784;-7.30696239096049;
EST;-18.8716286475285;-69.0701608499542;
FIN;-2.26998332652376;-8.30813897507695;
FRK;-4.66773182466803;-17.083898478285;
DEU;-0.791092693636364;-2.89539925870909;
GRC;-0.25596818256873;-0.936843548201552;
HUN;-0.848042424155908;-3.10383527241062;
IRL;#DIV/0!;#DIV/0!;
ITA;#DIV/0!;#DIV/0!;
LVA;-1.50519089712804;-5.50899868348862;
LTU;#DIV/0!;#DIV/0!;
LUX;-1.17876160779915;-4.3142674845449;
MLT;#DIV/0!;#DIV/0!;
NLD;-7.57730321600682;-27.732929770585;
POL;#DIV/0!;#DIV/0!;
PRT;-0.630730334859795;-2.30847302558685;
ROU;-4.58874993095512;-16.7948247472957;
SVK;-2.63126474122815;-9.63042895289504;
SVN;-2.51500741367647;-9.20492713405587;
ESP;-0.469401552751182;-1.71800968306933;
SWE;-1.09245464096706;-3.99838398593944;
GBE;-0.51759994902566;-1.89441581343392;
EU-28;-3.55455308604254;-13.0096642949157;
ISL;1.55831903945112;5.70344768439108;
GBK;-0.51759994902566;-1.89441581343392;
