Party;AVERAGE (grass-to-forest) t C/ha;EF

AUT;1.2035405341749998;-4.412981958641666

BEL;1.798019806033341;-6.592739288788917

BGR;2.2666529163000355;-8.31106069310013

HRV;1.306191568521666;-4.789369084579442

CYP;0.5067664140832062;-1.8581435183050896

CZE;1.8015052662884472;-6.605519309724307

DNM;1.5274921676495314;-5.600804614714948

EST;1.4123154057729599;-5.17848982116752

FIN;1.3387929454257008;-4.908907466560903

FRK;1.086878913481994;-3.9852226827673114

DEU;0.014064896172734213;-0.05157128596669211

GRC;

HUN;1.956249899344474;-7.172916297596404

IRL;1.792146284084027;-6.571203041641432

ITA;1.0379319155808477;-3.805750357129775

LVA;0.1779877913710674;-0.6526219016939138

LTU;1.6916005074303178;-6.202535193911165

LUX;2.8349166827851655;-10.394694503545606

MLT;0.1406672440126047;-0.5157798947128839

NLD;2.814124561504681;-10.318456725517164

POL;1.8432700998987976;-6.758657032962258

PRT;1.5266272787878745;-5.59763335555554

ROU;0.9054387667523613;-3.319942144758658

SVK;1.5219221612903227;-5.5803812580645165

SVN;1.287991542605644;-4.722635656220695

ESP;1.3447250259486527;-4.930658428478393

SWE;0.8490290126541673;-3.113106379731947

EU-27;1.4027519291156996;-5.143423740090898

GBE;1.07231282444125;-3.931813689617917

ISL;0.8126018189501868;-2.9795400028173518

GBK;1.074332455573097;-3.9392190037680224
